Brand,Owner
Acura,Honda
Alfa Romeo,Alfa Romeo
Audi,Volkswagen
BAIC,BAIC
Bentley,Volkswagen
BMW,BMW
Chrysler,Fiat Chrysler
Fiat,Fiat Chrysler
Ford Motor,Ford
General Motors,GM
Honda,Honda
Hyundai,Hyundai
Infiniti,Nissan
Isuzu,Isuzu
JAC,JAC
Jaguar,Jaguar Land Rover
KIA,KIA
Land Rover,Jaguar Land Rover
Lincoln,Ford
Mazda,Mazda
Mercedes Benz,Mercedes Benz
Mini,BMW
Mitsubishi,Mitsubishi
Nissan,Nissan
Peugeot,Fiat Chrysler
Porsche,Volkswagen
Renault,Renault
SEAT,Volkswagen
Smart,Mercedes Benz
Subaru,Subaru
Suzuki,Suzuki
Toyota,Toyota
Volkswagen,Volkswagen
Volvo,Volvo
