,brand,Ticker,Company Name
0,General Motors,GM,General Motors Company
1,Ford Motor,F,Ford Motor Company
2,Chrysler,FCAU,Fiat Chrysler Automobiles N V
3,Nissan,NSANY,"Nissan Motor Co., Ltd. (ADR)"
4,Volkswagen,VLKPY,Volkswagen Preferred Shares
5,Toyota,TM,Toyota Motor Corp (ADR)
6,BMW,BAMXF,BAYERISCHE MOTOREN WERKE A G
7,Mercedes Benz,Daimler AG,
8,Hyundai,HYMTF,Hyundai Motor Co.
9,Mazda,MZDAY,Mazda Motor Corporation
10,Audi,AUDVF,AUDI AG
11,Mitsubishi,TYO,Mitsubishi Corp
12,Renault,RNO.PA,Renault SA
13,KIA,KRX,Kia Motors
14,Honda,HMC,"Honda Motor Co., Ltd. (ADR)"
15,Peugeot,PUGOY,Peugeot Citroen S A
16,Fiat,FCAU,Fiat Chrysler Automobiles N V
17,Infiniti,NSANY,"Nissan Motor Co., Ltd."
18,Bentley,BEL.AX,Bentley Capital Limited
19,Lincoln,,
20,SEAT,,
21,Mini,BAMXF,BAYERISCHE MOTOREN WERKE A G
22,Volvo,VOLV-B,Volvo AB Class B
23,Jaguar,TTM,Tata Motors Limited (ADR)
24,JAC,,
25,Land Rover,TTM,Tata Motors Limited (ADR)
26,BAIC,BCCMY,BAIC Motor Corporation Limited
27,Porsche,POAHY,Porsche Auto Holdings
28,Suzuki,SZKMF,Suzuki Motor Corp.
29,Subaru,FUJHY,Subaru Corporation
30,Alfa Romeo,FCAU,Fiat Chrysler Automobiles N V
31,Acura,,
32,Isuzu,ISUZY,Isuzu Motors Limited
33,Smart,,
