"PRODUCTO","COLUMNA","DESCRIPCION","TIPO_DATO","LONGITUD","COD_VALIDO"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","PROD_EST","Nombre del proyecto al que pertenecen los datos, en este caso aplica la denominación Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Producción de vehículos ligeros","varchar","200","Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos "
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","COBERTURA","Área geográfica a la que están referidos los indicadores estadísticos","varchar","200","Nacional"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","ANIO","Año de referencia de la información","int",,"2005-2021"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","ID_MES","Identificador del mes o meses de referencia de la información","varchar","2","01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","MARCA","Es todo signo perceptible (nombre, símbolo, o una combinación de estos), que identifica a las unidades vehiculares para su comercialización y la diferencia de otras marcas de la misma u otra empresa.","varchar","50","Acura, Alfa Romeo, Audi, Baic, Bentley, BMW, Chrysler, Fiat, Ford Motor, General Motors, Honda, Hyundai, Infiniti, ISUZU, JAC, Jaguar, KIA, Land Rover, Lincoln, Mazda, Mercedes Benz, MINI, Mitsubishi, Nissan, Peugeot, Porsche, Renault, SEAT, Smart, Subaru, Suzuki, Toyota, Volkswagen, Volvo"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","MODELO","Es el nombre con el cual una empresa y/o marca comercializa una unidad vehicular de acuerdo con su diseño","varchar","50",
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","TIPO","Es la clasificación de las unidades vehiculares que se realiza con base en el tonelaje y/o número de asientos, que agrupa a éstas en automóviles y camiones ligeros.","varchar","50","Automóviles, Camiones ligeros, No Especificado"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","SEGMENTO","Corresponde al clasificador para agrupar los tipos de vehículos ligeros","varchar","50","Compactos, De Lujo, Deportivos, Subcompactos, SUV's, Minivans, Pick Ups, No Especificado"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","ORIGEN","Lugar de procedencia de la unidad vehicular","varchar","20","NACIONAL, IMPORTADO"
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","ID_PAIS_ORIGEN","Identificador del país destino de los vehículos Ligeros que fueron exportados ","int",,
"Registro administrativo de la industria automotriz de vehiculos ligeros. Producción de vehículos ligeros","UNI_VEH","Se refiere al numero de unidades vendidas al público de vehiculos ligeros incluye a los unidades de produccción nacional e importadas","int",,"0-999999"
